203551A0	1	until 2011 the flagship of Pfizer's European research should have been closed down years before	18	112
203552A0	1	If the deals were properly accounted for	0	39
203553A0	1	if the parties had gotten to nominate a single candidate each	151	211
203554A0	1	If the Clinton scandal had included storylines like that	0	55
203555A0	0	we've ever had	83	96
203555A1	0	If there was a better way to say it's the highest, the best, the number one event we've ever had	1	96
203556A0	0	they did not.	107	119
203556A1	0	If the ACC collected and controlled the data themselves	0	54
203557A0	1	if you had claimed at 62 or $208,320 if you claimed at 70	49	105
203558A0	1	If I had $100 for every instance where I set a limit buy on a stock and it missed my purchase price by a few pennies or less over the last decade	0	144
203559A0	1	if AIG had failed at the same time as Lehman last September	42	101
203560A0	0	in more careful people's shoes	161	190
203560A1	0	If a few people get sick at a salad bar	1	39
203561A0	1	Had only one more poll been conducted last month in New Mexico	0	61
203562A0	1	if previous McCain voters would do whatever he suggested	11	66
203563A0	1	Were he not a politician, it has been said	0	41
203564A0	1	had the technique not been used	135	165
203565A0	1	if Donald Trump had truly divested from his businesses	21	74
203567A0	0	had it been an event we did not see	104	138
203567A1	0	Brexit was the first time the corporate treasurer knew my name	9	70
203567A2	0	Had it been an unknown event, had it been an event we did not see	74	138
203568A0	0	with the media	79	92
203568A1	0	should have focused on work instead of spending meaningless time with the media	14	92
203568A2	0	As CEO, Sato should have focused on work instead of spending meaningless time with the media	1	92
203569A0	1	if the internet weren't around	170	199
203570A0	0	if she'd read this	80	97
203570A1	0	My grandmother was facing cognitive decline at the end of her life	1	66
203571A0	0	had advice	16	25
203571A1	0	had I had advice, or put a name to the defeating behavior 20 + years ago	10	80
203572A0	1	if Mr. Bernanke had allowed himself to be bullied into monetary tightening	55	128
203573A0	0	Had I swiped for another two nights	0	34
203573A1	0	had enough matches to go on a new date every day for a whole year	65	129
203574A0	1	if I hadn't had kids	63	82
203575A0	1	were Michael Jordan to suffer a scandal at the height of his stardom	86	153
203576A0	1	If I had one wish for the contents of tomorrow's earnings report	0	63
203577A0	1	If elections were held today	0	27
203578A0	0	had a lot different	86	104
203578A1	0	if the Democrats would have won the election	11	54
203578A2	0	if you look at the last four decisions in the Supreme Court at 5-4	108	173
203580A0	1	Were gender socialization not to be as prominent as it remains in Western society	0	80
203581A0	1	had they known of his plans	134	160
203582A0	0	with another singular but deeply held belief in Poland	112	165
203582A1	0	sat poorly with another singular but deeply held belief in Poland:that Germany must still atone for the second world war	101	221
203583A0	1	had the trustee provided notice to all certificate holders at an earlier point in the settlement negotiation process. 	99	217
203584A0	0	with colon cancer	30	46
203584A1	0	if they had been diagnosed 40 years ago	116	154
203585A0	0	she had gone off it suddenly at some point, either	157	206
203585A1	0	If a woman was on the pill and was fine with the pill and never had problems with sexual function	2	98
203586A0	1	if the rules had been in place at the end of June 2011	87	140
203587A0	1	If I were on the MPC	1	20
203588A0	1	with living cells	93	109
203589A0	1	if European health regulations had changed	180	221
203590A0	1	If the oil industry could suck up the oil the way they suck up to Congress	60	133
203591A0	0	wish they had saved more for retirement	46	84
203591A1	0	they wish they had saved more for retirement	41	84
203591A2	0	say they wish they had saved more for retirement	37	84
203592A0	1	if it were found, for example, that Peter Madoff had been left money from a wealthy uncle that had nothing to do with the fraud	52	178
203593A0	0	seen his majority slip away	32	58
203593A1	0	Had Ryan sought re-election but seen his majority slip away	0	58
203594A0	1	if only she had the chance to think it through	95	140
203595A0	1	had she been a better campaigner, including on economic issues,	11	73
203596A0	0	if you had indicated that your thoughts should be taken with a grain of salt (instead of presenting them as your absolute and unequivocal conviction)	147	299
203596A1	0	if you invited other professionals--particularly those with differing perspectives--to comment on your work and if you had indicated that your thoughts should be taken with a grain of salt (instead of presenting them as your absolute and unequivocal conviction)	31	299
203596A2	0	be less disturbed if you invited other professionals--particularly those with differing perspectives--to comment on your work and if you had indicated that your thoughts should be taken with a grain of salt (instead of presenting them as your absolute and unequivocal conviction)	13	299
203598A0	1	wish someone had given me a field guide to narcissists before my divorce so I	2	78
203599A0	1	wish it could have been	52	74
203600A0	0	I was giving for my own book	50	77
203600A1	0	If Harcourt or Ballantine had been publishing the book	80	133
203600A2	0	was I to invite people to a launch party that I was giving for my own book?	4	78
203601A0	1	If the Dish offer was as 'illusory' as Sprint claims or Dish was not making a good effort to work out a transaction that Clearwire's special committee could recommend	1	166
203602A0	0	should have been	14	29
203602A1	0	The sentence should have been	1	29
203603A0	1	if the community had not been poor and majority African American	133	196
203604A0	1	Had this been even a lone quake	0	30
203605A0	1	had its victims been Americans of any background	43	90
203606A0	1	if the index hadn't gone down at all	56	91
203607A0	1	if you could have	42	58
203608A0	1	if you had asked the U.S., the UK, some European countries, before the crisis, if their financial sector was strong enough to resist any kind of crisis	101	251
203609A0	1	if he were really a ghost	16	40
203610A0	1	if the study had been done at one treatment center instead of multiple centers	205	282
203611A0	1	were aware that no reasons existed then	13	51
203612A0	1	if an average of just two people per precinct had switches their votes to her	16	92
203613A0	0	with love	72	80
203613A1	0	I I were young	0	13
203614A0	0	with autism	174	184
203614A1	0	If we provided better early intervention	45	84
203615A0	0	she was the victim of rape or incest	127	162
203615A1	0	the termination was necessary to save her life	173	218
203615A2	0	if a woman had used any kind of tax benefit or credit to pay for an abortion	4	79
203616A0	0	there will be no consequences for her)	318	355
203616A1	0	if any one else had done what she did regarding classified information and her private server	183	275
203617A0	0	The stabbing	0	11
203617A1	0	if Antoine had not had the presence of mind to follow the man to the kitchen area	53	133
203618A0	0	with diminishing returns for the most active women	196	245
203618A1	0	Had the health media translated these results accurately for consumers	0	69
203618A2	0	More physical activity predicts a lower risk of premature death among older-aged women, but with diminishing returns for the most active women	104	245
203619A0	0	with the current budget	191	213
203619A1	0	If Washington were a state capitol	128	161
203619A2	0	in reality, the bonds are as risky as bonds that are below AAA.	62	124
203620A0	0	with DeLay	65	74
203620A1	0	Had he won (which Pelosi pushed hard, by the way)	0	48
203621A0	0	if they had bought the High Yield Index	136	174
203621A1	0	with more capital than they would have if they had bought the High Yield Index	97	174
203622A0	0	were I Black	78	89
203622A1	0	would make me very nervous were I Black	51	89
203623A0	0	If he did care about them	0	24
203623A1	0	if he did have an ounce of sympathy for their plight	27	78
203624A0	0	Without the CVSA	132	147
203624A1	0	the family would never have had closure	206	244
203625A0	1	if only proper procedure were followed	51	88
203626A0	0	if the appellate court hadn't stepped in	204	243
203626A1	0	the new law was also intentionally discriminatory	55	103
203627A0	1	if he had died	71	84
203629A0	0	with an especially strong libertarian or anarchist streak in them	56	120
203629A1	0	if only there was a sort of virtual exchange unit out there, one beyond the control of video game developers and nosy national security agencies and corrupt bankers	182	345
203630A0	1	If I were her	0	12
203631A0	0	with the Post	97	109
203631A1	0	If this were a bag drop	0	22
203632A0	0	if an invitation had been offered	176	208
203632A1	0	Mr. Trump's politicization of the events had made it impossible for the team to attend	77	164
203633A0	1	if they only had increased profitability	249	288
203635A0	1	Had Mr Rubio merely repeated his Iowa performance, beating Mr Bush, Mr Kasich and Mr Christie to come third	0	106
203636A0	1	If JPMorgan Chase was forced or even just strongly guided into making the acquisitions for which it is being penalized--and if	0	129
203637A0	0	should they have chosen to embark upon a second career	141	194
203637A1	0	though should they have chosen to embark upon a second career	134	194
203637A2	0	older people often had the financial firepower to start up their own businesses	52	130
203638A0	1	not agreed to-rather than skirted altogether	155	200
203639A0	0	I was pregnant	150	163
203639A1	0	if I had lived under the Ohio law recently passed	28	76
203640A0	0	if not for it being the modern age	209	242
203640A1	0	with their dinner jackets instead of the traditional bow tie	95	154
203641A0	1	If I had been 'good' (a compliant daughter) then the gift	0	56
203642A0	1	If she had been half as rude as Trump	0	36
203643A0	1	wish I could take back enthusiastic words I used to support these products years ago	2	85
203644A0	1	If I were Chinese	1	17
203645A0	1	If both sides did it	0	19
203646A0	0	with lots of money	398	415
203646A1	0	wish we had saved Lehman	6	29
203646A2	0	I wish we had saved Lehman	4	29
203646A3	0	it was beyond our ingenuity or capacity to do it..	82	133
203646A4	0	it was beyond our ingenuity or capacity to do it. BERNANKE ON EXECUTIVE COMPENSATION For capitalism to work you have to have incentives tied to performance and I think one of the things people are very upset about is the fact that it seems like a lot of people who drove their companies into the ditch walked off with lots of money	83	415
203647A0	1	we could have had some land mines	19	51
203648A0	0	if he still was alive	22	42
203648A1	0	psychoanalysis had become	64	88
203649A0	1	If you had gone out and bought the 3% dip	0	40
203650A0	1	were they not so dangerous in that their destructiveness now has legitimate political currency	117	210
203651A0	0	with our differences and the conflict they engendered	162	214
203651A1	0	had we not found a means of working with our differences and the conflict they engendered	126	214
203652A0	0	If I didn't have this my family would have gone uninsured	94	150
203652A1	0	I would have had to decide between food or a doctor visit	155	211
203653A0	0	In particular	0	12
203653A1	0	wish Congress	16	28
203654A0	1	had he never become president	172	200
203655A0	1	things had been going at XM over the past few months	8	59
203656A0	1	If Priorities hadn't gotten any funding it all	0	45
203657A0	0	had been discovered so far in any state	27	65
203657A1	0	hypothetically, supposing that a state already developed homegrown Zika	72	142
203657A2	0	with the largest number of imported Zika cases in the continental United States-74 reported at last count	180	286
203658A0	1	If they were really interested in acquiring the company	1	55
203659A0	0	Even more alarming	0	17
203659A1	0	if the company hadn't raised the prices of its Pyramid-brand cigarettes	60	130
203660A0	1	had the worker's 401(k) plan included a true up feature	27	81
203661A0	0	the election was much closer than realized	36	77
203661A1	0	with claims that the election was much closer than realized	19	77
203661A2	0	if roughly 370,000 people in swing states had voted differently	118	180
203662A0	1	someone had put fuel in a fire	193	222
203663A0	1	If the counselor had stopped there	0	33
